Index	Gene	PCC	KLS Degree	KSS Degree
0	GRMZM2G700148	0.0133104191705	12	0
1	GRMZM2G342515	0.412354049449	6	0
2	GRMZM2G047867	0.578697499776	5	0
3	GRMZM2G438938	0.179733429178	13	0
4	GRMZM2G015238	0.251953003005	8	1
5	GRMZM5G860590	0.303813352037	15	0
6	GRMZM2G128832	0.333438462653	47	0
7	GRMZM2G379540	0.455220385346	6	0
8	GRMZM2G058498	0.475797787714	10	0
9	AC205982.3_FG014	0.404345531374	6	0
10	GRMZM2G443447	0.234827310595	6	0
11	GRMZM2G050467	0.593218040509	7	0
12	GRMZM2G134334	0.589701395328	8	0
13	GRMZM2G050412	0.540904627948	18	0
14	AC212068.4_FG005	0.423532070908	9	0
15	GRMZM2G432774	0.425395247634	6	0
16	GRMZM2G097106	0.553361409244	0	20
17	GRMZM2G131943	0.567577309948	1	13
18	GRMZM2G158400	0.501251469641	48	0
19	GRMZM2G131487	0.505068728271	5	0
20	GRMZM2G116034	0.58152800808	0	8
21	GRMZM2G111818	0.443021190029	11	1
22	GRMZM2G101125	0.340076967461	6	0
23	GRMZM2G473310	0.309522813296	14	0
24	GRMZM2G074792	0.506954340206	15	0
25	GRMZM2G179432	0.57384659698	7	0
26	GRMZM2G142315	0.467211020382	8	0
27	GRMZM2G010460	0.467281408483	11	0
28	GRMZM2G012628	0.586977673367	10	0
29	GRMZM2G075459	0.562350463329	17	0
30	GRMZM2G087413	0.17919476527	12	0
31	GRMZM2G153823	0.444732340326	11	0
32	GRMZM2G126010	0.308474848446	12	0
33	GRMZM2G048377	0.232517491945	6	0
34	GRMZM2G042371	0.56281825999	0	23
35	GRMZM2G163406	0.573093678552	19	0
36	GRMZM2G399844	0.109343353669	8	0
37	GRMZM2G402156	0.484790736549	23	0
38	GRMZM2G476810	0.20044868046	14	0
39	GRMZM2G128171	0.279812717053	6	0
40	GRMZM2G131939	0.584567617107	7	0
41	GRMZM2G479885	0.511914677679	9	1
42	GRMZM2G061537	0.589765173264	8	0
43	GRMZM2G089895	0.558411495481	28	2
44	GRMZM2G456471	0.411837756953	6	0
45	GRMZM2G138392	0.561578570586	42	0
46	GRMZM2G050701	0.270560767204	6	0
47	GRMZM2G121137	0.423463796749	53	1
48	GRMZM2G059580	0.587326882271	5	2
49	GRMZM5G815894	0.586619820405	0	17
50	GRMZM2G123371	0.497748973424	233	0
51	GRMZM2G138407	0.597888298683	0	12
52	GRMZM2G110378	0.400688289742	7	3
53	GRMZM2G023242	0.587661717476	22	7
54	AC234201.1_FG003	0.249265615425	0	22
55	GRMZM5G828630	0.0393234508798	5	0
56	GRMZM2G147869	0.148521787759	11	0
57	GRMZM2G165208	0.539977508802	7	0
58	GRMZM2G158407	0.598516454144	57	0
59	GRMZM2G044107	0.583181943998	19	0
60	GRMZM2G129585	0.538636942955	6	0
61	GRMZM2G159724	0.511895337576	13	0
62	GRMZM2G387890	0.416228078068	5	0
63	GRMZM2G412150	0.255216549204	5	0
64	GRMZM2G119689	0.586079815872	44	0
65	GRMZM5G856738	0.233646699673	6	0
66	GRMZM2G071808	0.355406059029	14	0
67	GRMZM2G094705	0.408560773904	0	6
68	GRMZM2G027723	0.530976507434	5	1
69	GRMZM2G017229	0.587104891172	34	0
70	GRMZM5G843972	0.396864169842	33	0
71	GRMZM2G400173	0.532733201942	26	0
72	GRMZM2G004908	0.219401791224	11	0
73	GRMZM2G001327	0.511891759742	0	15
74	GRMZM2G406170	0.37403590488	42	0
75	GRMZM2G102475	-0.272952951108	12	3
76	GRMZM2G164440	0.554624865934	12	0
77	GRMZM2G081949	0.574053382434	25	0
78	GRMZM2G075003	0.580075424777	5	1
79	GRMZM2G169293	0.597833722309	5	0
80	GRMZM2G055698	0.510751463186	7	0
81	GRMZM2G537291	0.531757310207	0	14
82	GRMZM2G005456	0.598720934443	7	0
83	GRMZM2G382413	0.478565433167	34	2
84	GRMZM2G067985	0.585238806897	0	30
85	GRMZM2G028132	0.359044786715	7	0
86	GRMZM5G812796	0.597296804886	48	0
87	GRMZM5G835794	0.40336946419	7	0
88	GRMZM2G064366	0.538081436916	9	0
89	GRMZM2G020943	0.583118780738	5	0
90	GRMZM2G445634	0.508619253881	5	0
91	GRMZM2G020775	0.531169341172	5	0
92	GRMZM2G143403	0.532823150691	13	0
93	GRMZM2G084587	0.493726375193	7	0
94	GRMZM2G038677	-0.419420400963	6	0
95	GRMZM2G044947	0.449060378202	7	0
96	GRMZM2G457309	0.414876644956	9	0
97	GRMZM2G175976	0.538072157735	47	0
98	GRMZM2G175549	0.19768691831	8	0
99	GRMZM2G146951	0.55258023874	8	0
100	GRMZM2G029396	0.416512390043	2	32
101	GRMZM2G168119	0.0803918088997	21	5
102	GRMZM2G132162	0.510335820872	47	0
103	GRMZM2G114356	0.523156510552	8	0
104	GRMZM2G123411	0.530071279278	16	0
105	GRMZM2G132623	0.591369435253	0	10
106	GRMZM2G008403	0.505083377591	29	0
107	GRMZM2G059117	0.487272393455	37	0
108	GRMZM5G801409	0.567239520636	3	13
